Date ,Ip_tot_F0 ,I_Other_F0 ,I_LF.7_F0 ,I_LF.7.2.1_F0 ,I_LP.8.1_F0 ,I_NW.1_F0 ,I_LF.7.9_F0 ,I_XFG_F0 ,I_NB.1.8.1_F0
2025-08-30,           0,           0,           0,           0,           0,           0,           0,           0,           0,
2025-08-31,     4240093,       83905,       48742,        5270,      205721,       87899,       18926,     3142358,      647272,
2025-09-01,     3940460,       81490,       43709,        5096,      182118,       78364,       16941,     2895344,      637398,
2025-09-02,     3700434,       79475,       39490,        4532,      162474,       70305,       15388,     2702601,      626169,
2025-09-03,     3508053,       77294,       35787,        4055,      145946,       63456,       14030,     2552523,      614961,
2025-09-04,     3352527,       75242,       32699,        3725,      131720,       61460,       13440,     2430504,      603736,
2025-09-05,     3067834,       70280,       28604,        5878,      114477,       55875,       12326,     2214526,      565868,
2025-09-06,     2817966,       67827,       25412,        6953,       99760,       50099,       11502,     2027175,      529236,
2025-09-07,     2760109,       67940,       23910,        7382,       91856,       47000,       10719,     1988820,      522482,
2025-09-08,     2712902,       67374,       22849,        7723,       84161,       69491,       13990,     1934904,      512411,
2025-09-09,     2671393,       66845,       21149,       30529,       80246,       64381,       13010,     1892166,      503066,
2025-09-10,     2640679,       90057,       23089,       28991,       73929,       60463,       12134,     1857826,      494189,
2025-09-11,     2598445,       88475,       21386,       28219,       68360,       56468,       11153,     1837303,      487081,
2025-09-12,     2431735,       83589,       18963,       26038,       60141,       54492,       10461,     1721447,      456606,
2025-09-13,     2283064,       78680,       16717,       28247,       53487,       52393,        9836,     1616204,      427501,
2025-09-14,     2271088,       81039,       16464,       33269,       50385,       54100,        9079,     1605322,      421430,
2025-09-15,     2255882,       83070,       16228,       36474,       46810,       49391,        8463,     1599431,      416014,
2025-09-16,     2241592,       87490,       15064,       33016,       43615,       45179,        7900,     1598124,      411203,
2025-09-17,     2227117,       85095,       14024,       29917,       40736,       41401,        7536,     1601085,      407323,
2025-09-18,     2218138,       82891,       13082,       27146,       38196,       38051,        7225,     1608048,      403499,
2025-09-19,     2091445,       77216,       11709,       23766,       34196,       33500,        6592,     1525155,      379312,
2025-09-20,     1974794,       71990,       10682,       20829,       30500,       29526,        5910,     1448664,      356693,
2025-09-21,     1978572,       70414,       10051,       18984,       28708,       27263,        5663,     1463424,      354065,
2025-09-22,     1986564,       68960,        9510,       17318,       27212,       25252,        5325,     1481155,      351832,
2025-09-23,     1998680,       67648,        9039,       15923,       25677,       23439,        5021,     1501924,      350009,
2025-09-24,     2017709,       66481,        8508,       14585,       24299,       21887,        4813,     1525424,      351712,
2025-09-25,     2043481,       65366,        8064,       13476,       23082,       20445,        7857,     1552262,      352928,
2025-09-26,     1952825,       61264,        7292,       12047,       22967,       18572,        9482,     1486685,      334515,
2025-09-27,     1868380,       57501,        8427,       11056,       22279,       16927,       10091,     1425245,      316856,
2025-09-28,     1919835,       57293,        9605,       10638,       22236,       16504,       10798,     1454790,      337971,
2025-09-29,     1971262,       57115,       10100,       10454,       22173,       15542,       28679,     1489813,      337386,
2025-09-30,     2021775,       57219,       10466,        9741,       38123,       17319,       27488,     1524023,      337396,
2025-10-01,     2072778,       56727,       26544,       11672,       36594,       16301,       26987,     1560794,      337159,
2025-10-02,     2113137,       58810,       25306,       10887,       35640,       15380,       26017,     1600024,      341074,
2025-10-03,     2028116,       55368,       23475,        9758,       32896,       13746,       26200,     1541755,      324919,
2025-10-04,     1951055,       52154,       21509,        8666,       32734,       12676,       26002,     1486671,      310643,
2025-10-05,     1999009,       51692,       24794,        8632,       35028,       12474,       28612,     1528255,      309523,
2025-10-06,     2044778,       51938,       27547,        8575,       37559,       11667,       26268,     1572526,      308698,
2025-10-07,     2088514,       52191,       30770,        7901,       34842,       10934,       24146,     1619595,      308134,
2025-10-08,     2129537,       51818,       28141,        7289,       32366,       10271,       22210,     1669596,      307846,
2025-10-09,     2175013,       51512,       25798,        6737,       30146,        9698,       20522,     1722608,      307992,
2025-10-10,     2090608,       48563,       22829,        5998,       26937,        8729,       18298,     1667943,      291311,
2025-10-11,     2011222,       45828,       20228,        5359,       24117,        7844,       16283,     1615975,      275588,
2025-10-12,     2061629,       45747,       18710,        4991,       22580,        7422,       15078,     1671018,      276081,
2025-10-13,     2115757,       45653,       17334,        4646,       21161,        7120,       14037,     1729155,      276651,
2025-10-14,     2173896,       45611,       16029,        4417,       19957,        6797,       13015,     1790569,      277501,
2025-10-15,     2236191,       45693,       14952,        4175,       18749,        6511,       12168,     1855429,      278513,
2025-10-16,     2305529,       45780,       13875,        3974,       17733,        6296,       11394,     1926336,      280141,
2025-10-17,     2234018,       43397,       12419,        3639,       15995,        7521,       10522,     1874370,      266155,
